Symbol,Market Cap,Next Earnings Date
MPWR,45983375360.0,N/A
PWR,45818155008.0,N/A
VST,45456556032.0,N/A
VLO,45269696512.0,N/A
TEL,45089423360.0,N/A
PRU,44710678528.0,N/A
STZ,44632268800.0,N/A
PEG,44426084352.0,N/A
COR,44082196480.0,N/A
FAST,43934248960.0,N/A
F,43528986624.0,N/A
ODFL,43384426496.0,N/A
HES,43126857728.0,N/A
KHC,42753073152.0,N/A
IQV,42563403776.0,N/A
MCHP,42378526720.0,N/A
OTIS,42250543104.0,N/A
EW,41969205248.0,N/A
HWM,41912619008.0,N/A
GEHC,41839374336.0,N/A
ACGL,41776279552.0,N/A
NDAQ,41708879872.0,N/A
A,41464303616.0,N/A
KVUE,41405976576.0,N/A
IR,41365176320.0,N/A
IT,40656592896.0,N/A
GLW,40089591808.0,N/A
CTVA,40018800640.0,N/A
KR,40016011264.0,N/A
EXC,39949963264.0,N/A
AME,39743152128.0,N/A
GIS,39349665792.0,N/A
IDXX,39342223360.0,N/A
LVS,38522757120.0,N/A
CNC,38368628736.0,N/A
VRSK,38344814592.0,N/A
CTSH,38164590592.0,N/A
EA,38089711616.0,N/A
YUM,37895417856.0,N/A
EXR,37744926720.0,N/A
BKR,37650804736.0,N/A
HSY,37633658880.0,N/A
DOW,37555351552.0,N/A
CBRE,37436674048.0,N/A
DFS,37028098048.0,N/A
SYY,36970573824.0,N/A
TRGP,36549115904.0,N/A
NUE,36307968000.0,N/A
DD,36280315904.0,N/A
HPQ,36089262080.0,N/A
EFX,36064092160.0,N/A
ED,35687755776.0,N/A
IRM,35566989312.0,N/A
RMD,35357396992.0,N/A
LULU,35207532544.0,N/A
XEL,35133714432.0,N/A
HIG,34739740672.0,N/A
VICI,34357649408.0,N/A
DAL,34328950784.0,N/A
EL,33915867136.0,N/A
MLM,33793478656.0,N/A
XYL,33349208064.0,N/A
AXON,33100034048.0,N/A
WAB,33011486720.0,N/A
VMC,32864452608.0,N/A
TSCO,32764129280.0,N/A
EBAY,32704319488.0,N/A
EIX,32662851584.0,N/A
GRMN,32322707456.0,N/A
HUM,32241248256.0,N/A
CSGP,31695245312.0,N/A
AVB,31523819520.0,N/A
ROK,31263561728.0,N/A
ON,31180034048.0,N/A
MTB,31013754880.0,N/A
MTD,30945232896.0,N/A
WEC,30451050496.0,N/A
NVR,30396925952.0,N/A
LYB,30379565056.0,N/A
BRO,30237665280.0,N/A
PPG,29995382784.0,N/A
FITB,29956552704.0,N/A
CDW,29851564032.0,N/A
WTW,29719855104.0,N/A
PHM,29599150080.0,N/A
ANSS,29301600256.0,N/A
EQR,28790235136.0,N/A
DVN,28232728576.0,N/A
ETR,28225693696.0,N/A
VLTO,28011935744.0,N/A
BIIB,27903012864.0,N/A
ERIE,27884636160.0,N/A
K,27807733760.0,N/A
SMCI,27749924864.0,N/A
DXCM,27722295296.0,N/A
ADM,27698767872.0,N/A
KEYS,27591604224.0,N/A
FTV,27494842368.0,N/A
AWK,27374354432.0,N/A
TTWO,27244236800.0,N/A
STT,27171432448.0,N/A
CCL,27118786560.0,N/A
CAH,27085225984.0,N/A
HAL,27005739008.0,N/A
HPE,26921426944.0,N/A
IFF,26905552896.0,N/A
LYV,26895050752.0,N/A
RJF,26819956736.0,N/A
DOV,26653106176.0,N/A
VTR,26514456576.0,N/A
GPN,26123044864.0,N/A
DTE,26016202752.0,N/A
NTAP,25978773504.0,N/A
BR,25903106048.0,N/A
SBAC,25773936640.0,N/A
TYL,25611300864.0,N/A
HST,25590554624.0,N/A
CHD,25260013568.0,N/A
FE,24868311040.0,N/A
HUBB,24740454400.0,N/A
DECK,24532824064.0,N/A
TROW,24414547968.0,N/A
ROL,24298031104.0,N/A
WY,23710468096.0,N/A
PPL,23675136000.0,N/A
CPAY,23538481152.0,N/A
SW,23530571776.0,N/A
STX,23377018880.0,N/A
AEE,23290456064.0,N/A
GDDY,23142127616.0,N/A
WDC,23101392896.0,N/A
BLDR,22928627712.0,N/A
ES,22890510336.0,N/A
LDOS,22734333952.0,N/A
WRB,22570481664.0,N/A
HBAN,22541713408.0,N/A
STE,22525042688.0,N/A
FSLR,22475589632.0,N/A
PTC,22285041664.0,N/A
MRNA,22191181824.0,N/A
RF,21853184000.0,N/A
TER,21806839808.0,N/A
ATO,21783846912.0,N/A
EQT,21753341952.0,N/A
MKC,21748576256.0,N/A
CBOE,21606920192.0,N/A
WST,21457080320.0,N/A
COO,21445117952.0,N/A
CINF,21386131456.0,N/A
ZBH,21359022080.0,N/A
TSN,21314217984.0,N/A
TDY,21258739712.0,N/A
WAT,21239687168.0,N/A
SYF,21227642880.0,N/A
ARE,20999866368.0,N/A
UAL,20890822656.0,N/A
CMS,20881156096.0,N/A
BBY,20817588224.0,N/A
PFG,20775399424.0,N/A
INVH,20699551744.0,N/A
OMC,20214454272.0,N/A
STLD,20087164928.0,N/A
CLX,19983673344.0,N/A
MOH,19956230144.0,N/A
BALL,19862257664.0,N/A
PKG,19764883456.0,N/A
EXPE,19580223488.0,N/A
ZBRA,19480885248.0,N/A
GPC,19436253184.0,N/A
CNP,19427803136.0,N/A
CFG,19406907392.0,N/A
ESS,19371309056.0,N/A
NTRS,18966069248.0,N/A
HOLX,18958041088.0,N/A
BAX,18835769344.0,N/A
NRG,18596902912.0,N/A
MAS,18516244480.0,N/A
WBD,18487400448.0,N/A
DRI,18454550528.0,N/A
MAA,18412994560.0,N/A
VRSN,18386864128.0,N/A
FOX,18265792512.0,N/A
FOXA,18235629568.0,N/A
LH,18212478976.0,N/A
LUV,18208380928.0,N/A
CTRA,18053070848.0,N/A
JBHT,17894639616.0,N/A
AVY,17770565632.0,N/A
L,17646168064.0,N/A
FDS,17578663936.0,N/A
DG,17547018240.0,N/A
ULTA,17400401920.0,N/A
J,17327626240.0,N/A
EG,17265692672.0,N/A
GEN,17240854528.0,N/A
EXPD,17237372928.0,N/A
HRL,17125408768.0,N/A
SWK,16761518080.0,N/A
APTV,16705655808.0,N/A
IP,16701983744.0,N/A
DGX,16595138560.0,N/A
TXT,16579751936.0,N/A
UDR,16531856384.0,N/A
ALGN,16528228352.0,N/A
AMCR,16404610048.0,N/A
PNR,16367752192.0,N/A
PODD,16302555136.0,N/A
KEY,16167780352.0,N/A
IEX,16158891008.0,N/A
SWKS,15835841536.0,N/A
KIM,15794444288.0,N/A
CF,15703060480.0,N/A
AKAM,15693547520.0,N/A
SNA,15625689088.0,N/A
MRO,15528471552.0,N/A
LNT,15487470592.0,N/A
TRMB,15397314560.0,N/A
NI,15356983296.0,N/A
DOC,15311011840.0,N/A
RVTY,15171684352.0,N/A
NWSA,15058438144.0,N/A
NWS,15038595072.0,N/A
BXP,14944708608.0,N/A
CE,14836958208.0,N/A
DPZ,14792127488.0,N/A
NDSN,14745393152.0,N/A
UHS,14725604352.0,N/A
DLTR,14361465856.0,N/A
CPB,14315329536.0,N/A
JBL,14271381504.0,N/A
POOL,14090767360.0,N/A
CAG,14060462080.0,N/A
ENPH,13741270016.0,N/A
EVRG,13735391232.0,N/A
BG,13642407936.0,N/A
DVA,13596833792.0,N/A
VTRS,13594192896.0,N/A
JKHY,13437946880.0,N/A
ALLE,13029135360.0,N/A
CHRW,12919896064.0,N/A
EMN,12911860736.0,N/A
REG,12911363072.0,N/A
FFIV,12789345280.0,N/A
RL,12770045952.0,N/A
CPT,12769541120.0,N/A
JNPR,12764941312.0,N/A
INCY,12603613184.0,N/A
SJM,12582509568.0,N/A
AES,12412733440.0,N/A
MGM,12232817664.0,N/A
AOS,12057005056.0,N/A
SOLV,11994778624.0,N/A
IPG,11831116800.0,N/A
TECH,11711247360.0,N/A
ALB,11708638208.0,N/A
WYNN,11537617920.0,N/A
TAP,11374014464.0,N/A
KMX,11324944384.0,N/A
EPAM,11288011776.0,N/A
TFX,11187578880.0,N/A
CTLT,11005792256.0,N/A
MKTX,10740444160.0,N/A
TPR,10612485120.0,N/A
BEN,10527949824.0,N/A
GNRC,10456944640.0,N/A
LKQ,10343328768.0,N/A
LW,10314114048.0,N/A
NCLH,10275578880.0,N/A
HII,10228892672.0,N/A
DAY,10031444992.0,N/A
AIZ,9999214592.0,N/A
MHK,9993330688.0,N/A
HAS,9977359360.0,N/A
CRL,9974018048.0,N/A
QRVO,9920594944.0,N/A
APA,9876463616.0,N/A
CZR,9849869312.0,N/A
PNW,9838798848.0,N/A
GL,9778681856.0,N/A
MTCH,9745852416.0,N/A
PAYC,9467156480.0,N/A
FRT,9406913536.0,N/A
HSIC,8997535744.0,N/A
MOS,8335570432.0,N/A
BWA,8072132608.0,N/A
IVZ,7979067392.0,N/A
FMC,7831457792.0,N/A
WBA,7769475072.0,N/A
PARA,7392192512.0,N/A
AMTM,6912209920.0,N/A
BRK.B,,N/A
BF.B,,N/A
