Ticker,Revenue Slope,Revenue R²,Net Income Slope,Net Income R²,Combined R²,Revenue-Income Correlation
MSFT,16061661.139476674,0.9658752562549165,6642784.267931473,0.8529384767156085,0.8238321697673665,0.928067454772209
KSPI,391270910.62147003,0.9169262184575315,131327175.97713412,0.822321526430547,0.7540081675861865,0.9480905784163486
NVO,22751606.181272365,0.8935868400163173,8202399.973836839,0.7942027896853588,0.7096891611670836,0.9427233851221901
PDD,47411830.05637485,0.8153351588646485,18694036.79632092,0.8147352254418722,0.664282274468274,0.9768270363789068
GOOGL,25615518.221901674,0.922946624903733,7334835.744114623,0.7009922768915641,0.6469784560406522,0.9003285314976196
TSM,212960900.28339666,0.8630221500187791,89317580.4037923,0.7490097220192756,0.6464119806820433,0.9511869128596286
FCNCA,1602915.6508146445,0.834560372441686,390611.87506149773,0.771699569370965,0.6440298800273212,0.9819077160489141
MA,1602408.8597776438,0.8659218963638216,805310.6878828255,0.7410049181711651,0.6416523839576936,0.9244806015906684
V,1852755.9017543297,0.8416812248886825,1082321.7498348816,0.7117644946762771,0.599078811711403,0.9467491358720457
ZK,-16395414.829308571,0.7192013566333784,3844737.151088456,0.8318126627739408,0.5982407955318411,-0.9761827925197684
AVGO,3095843.0896867877,0.859982665285547,1559503.5764996193,0.64727903249537,0.5566487475488184,0.6104023492393311
NFLX,2411139.2067755074,0.9602183469630442,723212.6643889962,0.5008951053399774,0.48096867005143296,0.7633067037374286
DKNG,839051.6970581213,0.8879174249829829,326151.1066787886,0.5132820159983427,0.45575204593532265,0.7955619271570181
TSLA,11736027.405550813,0.9126812106351527,2138519.8598627155,0.4885850677608303,0.44592241114221276,0.7742493613273703
TM,3254490484.8417187,0.7937163270107167,512814264.9223056,0.5230261478294301,0.4151343929857394,0.8378957005710471
DE,4106560.356936297,0.6360339780250083,1103098.4053540444,0.6388870460987547,0.4063538694388378,0.957376932825935
PFGC,6552661.29711313,0.8526685191195246,87931.15711932466,0.4715939015397456,0.40211327365169375,0.7395014750038669
NVDA,10428550.771807244,0.6781820997054461,5785877.38058411,0.5514479745515207,0.3739821452596657,0.9874370410764006
NU,1861602.02466976,0.886152464651098,346299.74715901446,0.4142185389516663,0.36706077919619595,0.6683797864866555
HDB,276517306.17882097,0.5729952513234016,63746971.76913731,0.6117319215744652,0.3505194861451081,0.9290142558189101
CRWD,474775.7539317185,0.9646297072499663,34577.023406593624,0.3502061378390016,0.33781924422077747,0.6889689960052976
AXP,4764870.85886215,0.7252845221538963,809105.998017464,0.44395666201472583,0.32199489546638926,0.5668904575483417
META,11242585.722300496,0.8810411791836411,3162871.701008962,0.35576850229353657,0.3134467007770954,0.7699346268801053
COST,15324481.992561022,0.5185969317565952,534312.7637070218,0.5999582204228092,0.3111364922934159,0.9695843443533437
TKC,15942621.441534227,0.7106652627015096,2182628.5705089876,0.40660436485120377,0.2889595977625612,0.3682556506800035
TMUS,4918592.629478355,0.657628497604261,824065.6004415223,0.4355947395336537,0.2864595141238361,0.28461378597608117
BBAR,422911659.5450993,0.5292890987050558,36950222.55093077,0.5075687486458589,0.2686506055016197,0.851803645440836
ULTA,686215.5884270661,0.5390524804249309,117542.84791704052,0.42391981477159135,0.22851502765390358,0.8909638554161685
JPM,14611387.35408988,0.5683745022382989,3275656.5557204923,0.3790294674574656,0.2154306848997845,0.4668139571954564
CAT,3929952.1958447937,0.7609789814436545,738527.0816910875,0.2506426392347028,0.1907337803111735,0.6474733281736144
KT,386292294.3851826,0.6611770937796758,132236685.66879016,0.28740246583069234,0.19002392710304974,0.40730427948620057
RKLB,56314.805518986024,0.7236415597300413,-25576.884455818144,0.251024618431238,0.18165184641221954,-0.19343746364344047
LI,23693426.988292474,0.8036295574190782,1521302.378804981,0.224719110608074,0.18059091940157537,0.7971903731492372
KO,1871120.1750044315,0.6951355313757083,470608.20421806554,0.25530024020443887,0.17746826813485858,0.6252520660851655
SUPV,250279641.64940688,0.4218318137316307,16783703.243081704,0.3726474811563995,0.15719456285872768,0.7877690169964148
